shot_id,episode_id,scene_id,shot_no,duration_s,aspect_ratio,script_ref,description,pose_start,pose_end,position_start,position_end,facing,eyeline,action_start,action_end,emotion_start,emotion_end,micro_beats,face_scale,shot_size_z,camera_move,axis_note,props_in_frame,physics_note,style_id,refs,voice_id,dialogue,prompt_zh,model,job_id,audio_duration_s,audio_file,clip_file,status,qa_identity,qa_wardrobe,qa_scene,qa_light,qa_axis,qa_spec,qa_safe_area,qa_continuity,qa_physics,qa_props,version,updated_at
EP01-SC01-SH001,EP01,SC01,1,5,16:9,开篇「一脚踹出十米远」,江小白被踹飞横穿厅堂砸向木柱,站,卧倒,画面中央偏右,画面左侧木柱旁,侧身朝向画面左,无,被踹中后腾空,砸向木柱,震惊,剧痛,0,3,Z9,Fast Dolly Back 广角轻微后拉,机位固定在轴线右侧全集不变,无,身体腾空后受重力下坠，撞柱即停，不得穿入柱体,ST-001,CH-001;EN-001;ST-001,,,古装写实电影质感；侯府厅堂白日侧光自画面左上斜射；0–1.2 秒少年被一脚踹中，身体腾空向左横飞，衣袍被气流滞后甩向身后、脚下尘土扬起；1.2–3 秒加速下坠，重心沿抛物线前移；3–4 秒右肩撞上木柱，撞停即止、柱身掉木茬碎屑，身体顺柱滑落到青石地面滑行减速停住；广角固定机位轻微后拉；轻胶片颗粒；主体位于画面中央安全区；踹人者不入画,seedance_2_0_mini,4b0fd30f-1095-4508-b8b1-9c315f29bea2,,,project/work/clips/EP01-SC01-SH001_v001.mp4,regen,pass,pass,pass,pass,pass,pass,fail,pass,fail,pass,,
EP01-SC01-SH002,EP01,SC01,2,4,16:9,「背脊与青石地面摩擦出一阵刺耳声响」,背脊沿青石地面擦滑停下,卧倒,卧倒,画面中央偏左,画面左侧,侧躺朝向画面左,无,背脊擦地滑行,滑行终止,剧痛,剧痛,2,12,Z6,Low Angle Tracking 低角度跟随,机位保持轴线右侧,无,背脊与青石地面持续接触摩擦，尘土沿滑行方向扬起，身体不得陷入地面,ST-001,CH-001;EN-001;ST-001,,,低角度贴地跟随镜头；0–1.6 秒背脊擦地滑行、衣袍翻卷、尘土沿滑行方向扬起、手指抓地；1.6–4 秒滑行减速停住、咬牙皱眉、颈肩肌肉紧绷；青石地面砖缝清晰；主体保持在中央安全区内；禁止身体陷入地面,seedance_2_0_mini,760881dc-f92c-4da4-aa9c-1f54c081efd2,,,project/work/clips/EP01-SC01-SH002_v001.mp4,regen,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,
EP01-SC01-SH003,EP01,SC01,3,4,16:9,「江小白艰难抬起头」,江小白撑地抬头，眼前发黑,卧倒,半撑起,画面左侧,画面左侧,侧脸朝向画面右,看向厅堂中央,手掌撑地,抬头停住,痛苦,茫然,2,35,Z3,Slow Push In 缓慢推进,机位保持轴线右侧,无,手掌撑地受力，指节压地不变形，肩膀不得与地面融合,ST-001,CH-001;EN-001;ST-001,,,近景缓慢推进；0–1.2 秒昏迷转苏醒：眼睑缓慢睁开、头随撑地动作抬起，首帧必须是半闭眼、不能画成瞪眼；1.2–4 秒聚焦「买状元」这件事：瞳孔收紧、眉心下压、呼吸变浅；视线越过镜头看向厅堂中央；脸颊擦伤与尘土可见；背景虚化保留厅堂结构；禁止肢体与地面融合变形,seedance_2_0_mini,f3f81861-b1ed-4e2c-8126-159c6d007a7d,,,project/work/clips/EP01-SC01-SH003_v001.mp4,regen,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,
EP01-SC01-SH004,EP01,SC01,4,4,16:9,「刀芒宛如实质一般延伸而出」,刀锋微抬，刀芒延伸直抵面前,站,站,画面中央,画面中央,侧身朝向画面左,看向地上的人,刀锋微抬,刀芒定住,冷漠,压迫,0,0,Z1,Very Slow Push In 极缓推进,机位在轴线右侧与上一镜同侧,PR-001 长刀×1,刀身写实金属反光；刀锋外延的半透明冷白光刃沿直线延伸不弯折；光刃不得整体过曝,ST-001,CH-002;PR-001;EN-001;ST-001,,,大特写长刀与刀芒；玄色常服武将持刀立于画面中央；刀锋外延半透明冷白光刃直抵镜头前；刀身保留锻纹与豁口细节；冷白光刃与暖调厅堂形成冷暖对比；主体在中央安全区,seedance_2_0_mini,863b3570-060a-4d91-978b-9e61e522d957,,,project/work/clips/EP01-SC01-SH004_v001.mp4,regen,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,,
EP01-SC02-SH005,EP01,SC02,5,4,16:9,「他整个人直接愣住了」,江小白呆坐地上瞳孔失焦,半撑起,坐,画面左侧,画面左侧,正面朝向镜头,失焦前视,愣住,瞳孔收缩,茫然,惊疑,,,Z3,Static 固定,机位转至轴线正面但保持同一侧视线方向,无,坐姿与地面接触自然，衣摆自然堆叠不悬浮,ST-001,CH-001;EN-001;ST-001,,,近景固定机位；少年坐在地上愣住，瞳孔轻微收缩；尘土在侧逆光中可见；背景为厅堂青石地面与柱基；主体位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC02-SH006,EP01,SC02,6,4,16:9,「一股庞大的陌生记忆如潮水一般疯狂涌入脑海」,头部剧痛，记忆涌入,坐,坐,画面中央,画面中央,正面朝向镜头,闭眼,抱头,后仰停住,剧痛,失神,,,Z1,Slow Push In 缓慢推进,机位正面稳定,无,抱头动作幅度小，双手与头部接触不穿透,ST-001,CH-001;EN-001;ST-001,,,面部特写；少年双手抱头、瞳孔剧烈收缩；画面轻微白色过曝闪动表现记忆涌入；背景全虚化；禁止面部结构扭曲变形,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC02-SH007,EP01,SC02,7,4,16:9,「无数陌生画面不断在脑海中闪过」,记忆碎片快速闪过,坐,坐,画面中央,画面中央,正面朝向镜头,闭眼,碎片闪现,碎片收束,失神,剧痛,,,Z2,Fast Push In 快速推进,机位正面稳定,无,闪回画面为叠加层，不改变主体空间位置,ST-001,CH-001;EN-001;ST-001,,,近景快速推进；少年闭眼，画面叠加多层快速闪过的半透明记忆碎片，现代书桌与古代试卷两种意象交错；碎片透明度高不遮挡面部；主体始终位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC02-SH008,EP01,SC02,8,4,16:9,「江小白呆呆地坐在地上」,回神后咽口水,坐,坐,画面左侧,画面左侧,四分之三侧朝向画面右,看向厅堂中央,抬头,咽口水停住,茫然,警惕,,,Z5,Static 固定,机位回到轴线右侧,无,身体静止仅有呼吸起伏，衣袍自然垂落,ST-001,CH-001;EN-001;ST-001,,,中景固定机位；少年四分之三侧坐在地上抬头看向厅堂中央；侧光勾勒脸部轮廓；厅堂纵深可见；主体位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC03-SH009,EP01,SC03,9,5,16:9,「江景承低沉而愤怒的声音随之响起」,江景承持刀立于厅堂中央沉声开口,站,站,画面中央,画面中央,四分之三侧朝向画面右,看向地上的人,开口说话,下颌收紧,压抑怒意,怒意升腾,,,Z5,Slow Push In 缓慢推进,机位与SH004同侧保持轴线一致,PR-001 长刀×1,站姿稳定，长刀持于手侧不穿模入衣袍,ST-001,CH-002;PR-001;EN-001;ST-001,VC-002,咱们祖上几代人，哪个不是在尸山血海里滚出来的？,中景缓慢推进；玄色常服武将持刀立于厅堂中央低头说话；身后是深色木柱与槅扇窗；主光自左上高位射入在其面部形成硬朗阴影；主体位于中央安全区,seedance_2_0,,4.848,project/work/audio/EP01-SC03-SH009_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC03-SH010,EP01,SC03,10,10,16:9,「而且，你买的还是状元！！」,江景承怒吼，情绪爆发,站,站,画面中央偏右,画面中央偏右,正面朝向镜头略偏侧,看向镜头下方,抬刀怒吼,刀锋定住,怒意,爆发,,,Z2,Rapid Push In 快速推进后停住,机位正面但保持与全集同一轴线侧,PR-001 长刀×1,抬刀动作单一弧线，刀身不与其他物体接触,ST-001,CH-002;EN-001;ST-001,VC-002,结果到了你这里，不想着练武立功，不想着上阵杀敌，反倒买个文名！而且，你买的还是状元！,近景快速推进后急停；武将面容怒意爆发，颈部与下颌肌肉紧张；右侧硬光强化面部结构；背景压暗；主体位于中央安全区；禁止面部扭曲变形,seedance_2_0,,9.072,project/work/audio/EP01-SC03-SH010_v001.mp3,,todo,,,,,,,,,,,,
